Format,Matches,Inn,NO,Runs,HS,Avg,BF,SR,100,200,50,4s,6s,Name
Test,15,25,1,505,84,21.04,1245,40.56,0,0,2,61,2,Ryan Hinds
ODI,14,9,3,101,18,16.83,170,59.41,0,0,0,11,0,Ryan Hinds
Test,45,80,1,2608,213,33.01,5459,47.77,5,1,14,368,16,Wavell Hinds
ODI,119,111,10,2880,127,28.51,4393,65.56,5,0,14,261,50,Wavell Hinds
T20I,5,5,1,30,14,7.5,41,73.17,0,0,0,3,0,Wavell Hinds
Test,5,10,0,147,45,14.7,389,37.79,0,0,0,20,1,Sylvester Joseph
ODI,13,11,1,161,58,16.1,302,53.31,0,0,1,11,2,Sylvester Joseph
Test,87,154,7,5842,291,39.74,12484,46.8,15,2,31,747,14,Ramnaresh Sarwan
ODI,181,169,31,5804,120,42.06,7663,75.74,5,0,38,480,58,Ramnaresh Sarwan
T20I,18,16,3,298,59,22.92,286,104.2,0,0,2,19,6,Ramnaresh Sarwan
IPL,4,4,0,73,31,18.25,75,97.33,0,0,0,6,1,Ramnaresh Sarwan
Test,38,63,2,1323,106,21.69,1949,67.88,1,0,5,155,34,Daren Sammy
ODI,126,105,30,1871,89,24.95,1870,100.05,0,0,9,145,84,Daren Sammy
T20I,68,52,18,587,42,17.26,398,147.49,0,0,0,45,31,Daren Sammy
IPL,22,20,5,295,60,19.67,241,122.41,0,0,1,15,18,Daren Sammy
Test,10,14,1,320,105,24.62,457,70.02,1,0,0,47,6,Dwayne Smith
ODI,105,89,5,1560,97,18.57,1683,92.69,0,0,8,142,64,Dwayne Smith
T20I,33,32,0,582,72,18.19,476,122.27,0,0,3,62,31,Dwayne Smith
IPL,91,89,5,2385,87,28.39,1764,135.2,0,0,17,245,117,Dwayne Smith
Test,10,19,0,437,60,23.0,1263,34.6,0,0,2,49,0,Aakash Chopra
IPL,7,6,0,53,24,8.83,71,74.65,0,0,0,7,0,Aakash Chopra
ODI,57,51,7,1230,159,27.95,1721,71.47,1,0,4,122,8,Dinesh Mongia
T20I,1,1,0,38,38,38.0,45,84.44,0,0,0,4,1,Dinesh Mongia
Test,90,144,16,4876,224,38.09,8248,59.12,6,1,33,544,78,MS Dhoni
ODI,350,297,84,10773,183,50.58,12303,87.56,10,0,73,826,229,MS Dhoni
T20I,98,85,42,1617,56,37.6,1282,126.13,0,0,2,116,52,MS Dhoni
IPL,264,229,95,5243,84,39.13,3812,137.54,0,0,24,363,252,MS Dhoni
Test,17,25,11,77,19,5.5,256,30.08,0,0,0,8,3,Ashish Nehra
ODI,120,46,21,141,24,5.64,246,57.32,0,0,0,12,3,Ashish Nehra
T20I,27,5,0,28,22,5.6,39,71.79,0,0,0,1,2,Ashish Nehra
IPL,88,22,15,41,22,5.86,62,66.13,0,0,0,3,1,Ashish Nehra
ODI,4,3,2,35,29,35.0,30,116.67,0,0,0,5,0,Joginder Sharma
T20I,4,0,0,0,-,-,0,-,0,0,0,0,0,Joginder Sharma
IPL,16,6,2,36,16,9.0,30,120.0,0,0,0,1,2,Joginder Sharma
Test,1,1,1,9,9,0.0,39,23.08,0,0,0,2,0,Iftikhar Anjum
ODI,62,34,19,234,32,15.6,378,61.9,0,0,0,15,3,Iftikhar Anjum
T20I,2,0,0,0,-,-,0,-,0,0,0,0,0,Iftikhar Anjum
Test,1,2,0,32,23,16.0,47,68.09,0,0,0,5,0,Bazid Khan
ODI,5,5,0,131,66,26.2,232,56.47,0,0,2,7,1,Bazid Khan
Test,93,144,27,1699,80,14.52,3405,49.9,0,0,3,201,6,Rangana Herath
ODI,71,30,15,140,17,9.33,217,64.52,0,0,0,10,2,Rangana Herath
T20I,17,6,3,8,3,2.67,12,66.67,0,0,0,0,0,Rangana Herath
Test,19,38,5,540,102,16.36,1657,32.59,1,0,0,47,2,Graeme Cremer
ODI,96,70,19,744,58,14.59,1196,62.21,0,0,1,48,5,Graeme Cremer
T20I,29,19,6,68,17,5.23,102,66.67,0,0,0,2,0,Graeme Cremer
Test,17,24,7,426,75,25.06,854,49.88,0,0,2,50,3,Nathan Hauritz
ODI,58,32,17,336,53,22.4,349,96.28,0,0,1,21,8,Nathan Hauritz
T20I,3,2,0,6,4,3.0,10,60.0,0,0,0,1,0,Nathan Hauritz
Test,56,99,6,4188,157,45.03,8483,49.37,10,0,25,490,9,Simon Katich
ODI,45,42,5,1324,107,35.78,1926,68.74,1,0,9,138,4,Simon Katich
